IP:PORT	 LOSS	 DELAY
188.114.97.17:1014	0.00%	212 ms
188.114.99.245:1014	0.00%	212 ms
188.114.98.54:1014	0.00%	213 ms
162.159.195.217:7103	0.00%	214 ms
188.114.98.121:7103	0.00%	217 ms
162.159.195.245:1014	0.00%	218 ms
162.159.195.245:7103	0.00%	219 ms
188.114.99.214:7103	0.00%	219 ms
188.114.98.148:7103	0.00%	220 ms
188.114.98.179:1014	0.00%	221 ms
188.114.98.121:1014	0.00%	221 ms
162.159.195.217:1014	0.00%	221 ms
188.114.99.35:1014	0.00%	222 ms
188.114.98.179:7103	0.00%	223 ms
188.114.97.14:7103	0.00%	223 ms
188.114.99.245:7103	0.00%	228 ms
188.114.97.166:7103	0.00%	229 ms
188.114.96.77:7103	0.00%	229 ms
188.114.96.227:1014	0.00%	230 ms
162.159.195.20:7103	0.00%	230 ms
188.114.99.97:1014	0.00%	231 ms
162.159.195.20:1014	0.00%	231 ms
188.114.96.41:7103	0.00%	231 ms
188.114.99.151:1014	0.00%	232 ms
188.114.99.160:7103	0.00%	233 ms
188.114.99.172:7103	0.00%	235 ms
188.114.97.17:7103	0.00%	235 ms
162.159.195.146:7103	0.00%	236 ms
188.114.99.160:1014	0.00%	237 ms
188.114.96.227:7103	0.00%	237 ms
188.114.97.234:7103	0.00%	237 ms
188.114.97.229:1014	0.00%	238 ms
188.114.99.35:7103	0.00%	238 ms
188.114.97.234:1014	0.00%	238 ms
188.114.98.54:7103	0.00%	242 ms
188.114.99.172:1014	0.00%	243 ms
188.114.96.76:1014	0.00%	244 ms
188.114.97.57:1014	0.00%	244 ms
188.114.96.81:7103	0.00%	245 ms
188.114.98.132:7103	0.00%	246 ms
162.159.195.30:7103	0.00%	246 ms
188.114.99.214:1014	0.00%	246 ms
188.114.97.14:1014	0.00%	247 ms
188.114.96.107:1014	0.00%	247 ms
188.114.98.15:1014	0.00%	247 ms
188.114.97.57:7103	0.00%	249 ms
188.114.98.224:1014	0.00%	249 ms
162.159.195.202:1014	0.00%	249 ms
162.159.195.43:7103	0.00%	250 ms
162.159.195.202:7103	0.00%	250 ms
188.114.96.77:1014	0.00%	250 ms
188.114.96.41:1014	0.00%	250 ms
162.159.195.30:1014	0.00%	250 ms
188.114.99.151:7103	0.00%	252 ms
188.114.97.15:7103	0.00%	252 ms
162.159.195.185:1014	0.00%	253 ms
188.114.99.97:7103	0.00%	254 ms
188.114.96.132:7103	0.00%	254 ms
188.114.96.210:7103	0.00%	254 ms
188.114.98.224:7103	0.00%	255 ms
188.114.98.21:7103	0.00%	256 ms
188.114.98.21:1014	0.00%	256 ms
188.114.97.50:1014	0.00%	257 ms
188.114.98.23:7103	0.00%	257 ms
188.114.98.23:1014	0.00%	257 ms
188.114.97.15:1014	0.00%	258 ms
188.114.96.175:7103	0.00%	259 ms
188.114.96.76:7103	0.00%	261 ms
188.114.97.202:7103	0.00%	264 ms
188.114.97.251:7103	0.00%	264 ms
188.114.98.132:1014	0.00%	264 ms
188.114.98.15:7103	0.00%	265 ms
188.114.96.132:1014	0.00%	265 ms
188.114.97.99:1014	0.00%	269 ms
188.114.99.194:7103	0.00%	269 ms
188.114.97.50:7103	0.00%	269 ms
188.114.97.202:1014	0.00%	270 ms
188.114.96.68:7103	0.00%	273 ms
188.114.97.99:7103	0.00%	274 ms
188.114.98.245:1014	0.00%	275 ms
188.114.97.251:1014	0.00%	276 ms
188.114.99.12:7103	0.00%	276 ms
188.114.96.206:7103	0.00%	277 ms
188.114.96.175:1014	0.00%	279 ms
188.114.96.206:1014	0.00%	280 ms
188.114.96.210:1014	0.00%	283 ms
188.114.96.121:1014	0.00%	284 ms
188.114.97.109:1014	0.00%	289 ms
162.159.195.150:7103	0.00%	289 ms
188.114.96.121:7103	0.00%	291 ms
162.159.195.150:1014	0.00%	293 ms
188.114.98.148:1014	10.00%	307 ms
162.159.195.144:7103	10.00%	318 ms
188.114.96.81:1014	10.00%	321 ms
162.159.195.146:1014	10.00%	321 ms
162.159.195.144:1014	10.00%	323 ms
188.114.98.236:7103	10.00%	323 ms
188.114.97.229:7103	10.00%	327 ms
162.159.195.185:7103	10.00%	329 ms
162.159.195.43:1014	10.00%	332 ms
188.114.98.236:1014	10.00%	348 ms
188.114.98.245:7103	10.00%	349 ms
188.114.99.12:1014	10.00%	358 ms
188.114.97.109:7103	10.00%	360 ms
188.114.98.88:1014	20.00%	413 ms
188.114.96.68:1014	20.00%	418 ms
188.114.98.88:7103	30.00%	480 ms
188.114.99.194:1014	30.00%	488 ms
188.114.99.3:1014	50.00%	604 ms
188.114.99.3:7103	50.00%	609 ms
188.114.97.167:7103	50.00%	616 ms
188.114.96.107:7103	50.00%	617 ms
188.114.97.167:1014	50.00%	618 ms
188.114.97.30:1014	50.00%	625 ms
188.114.97.30:7103	50.00%	629 ms
188.114.97.166:1014	50.00%	632 ms
